,True Pressure,Strain Pressure
132,-0.0721782756576625,0.006372187212688021
133,-0.0724944919395145,0.006347062707954496
134,-0.07280434763404058,0.006322229207019581
135,-0.073107792143862,0.0062976833259415785
136,-0.07340475625318074,0.0062734218691989285
137,-0.07369515196664449,0.0062494418055552
138,-0.07397887287462386,0.006225740257867862
139,-0.07425579485858917,0.006202314508648447
140,-0.07452577693149894,0.006179162019620737
141,-0.07478866212333457,0.006156280464185177
142,-0.07504427847060229,0.006133667772973901
143,-0.07529244023110095,0.006111322191664858
144,-0.07553294934958474,0.006089242346648151
145,-0.0757655970467161,0.006067427309282435
146,-0.07599016539907959,0.006045876648391112
147,-0.07620642891225521,0.006024590467538554
148,-0.07641415617049355,0.00600356943249834
149,-0.07661311163701182,0.005982814795511175
150,-0.07680305765511014,0.00596232841949583
